Block Name,Point ID,Cp,Mach_0,Mach_1,Mach_2,Mach_Magnitude,P0oPinf0,PoPinf,Points_0,Points_1,Points_2,Points_Magnitude,Result,Utot_0,Utot_1,Utot_2,Utot_Magnitude,arc_length,density,p,pressure,rho,stagnationpressure,u,v,w
unnamed_block_0,0,-0.0449299404482,0,0,0,0,0.989963151781,0.999564249683,0.429828505375,0,0.120148195102,0.446304977363,0.429828505375,0,0,0,0,0,1.22162824089,0.713974464059,101280.847599,0.997247543581,101280.847599,0,0,0
unnamed_block_0,1,-0.0484667992337,0,0,0,0,0.98992917925,0.999529947672,0.434455827127,0,0.118982068324,0.450453769334,0.434455827127,0,0,0,0,0.00477199730323,1.22158631831,0.713949962623,101277.371948,0.997213321072,101277.371948,0,0,0
unnamed_block_0,2,-0.0621137255388,0,0,0,0,0.989798096656,0.99939759378,0.44142313227,0,0.117226653008,0.456723625269,0.44142313227,0,0,0,0,0.0119570389793,1.22142456058,0.713855424129,101263.96119,0.997081273939,101263.96119,0,0,0
unnamed_block_0,3,-0.0671218958243,0,0,0,0,0.989749991761,0.999349022343,0.443722349451,0,0.116607872853,0.458788534527,0.443722349451,0,0,0,0,0.0143380657589,1.22136519847,0.713820730245,101259.039689,0.997032815077,101259.039689,0,0,0
unnamed_block_0,4,-0.0665170545244,0,0,0,0,0.989755801433,0.99935488836,0.444942403492,0,0.116287337528,0.459887472426,0.444942403492,0,0,0,0,0.0155995231529,1.22137236768,0.713824920257,101259.634063,0.997038667498,101259.634063,0,0,0
unnamed_block_0,5,-0.0510999946998,0,0,0,0,0.989903886662,0.999504409784,0.45416137259,0,0.1136839855,0.468173686693,0.45416137259,0,0,0,0,0.0251790238186,1.22155510691,0.713931721275,101274.784321,0.997187842374,101274.784321,0,0,0
unnamed_block_0,6,-0.0475570822389,0,0,0,0,0.98993791734,0.999538770507,0.457701973123,0,0.112714059838,0.471376235598,0.457701973123,0,0,0,0,0.0288500737951,1.22159710124,0.713956264648,101278.265922,0.997222123458,101278.265922,0,0,0
unnamed_block_0,7,-0.0460723885496,0,0,0,0,0.989952178244,0.999553169719,0.464183628308,0,0.110865160291,0.477239483442,0.464183628308,0,0,0,0,0.0355902728629,1.22161469939,0.713966549799,101279.724922,0.997236489297,101279.724922,0,0,0
unnamed_block_0,8,-0.042592090922,0,0,0,0,0.989985607489,0.999586923176,0.466739590965,0,0.110094302399,0.479548330405,0.466739590965,0,0,0,0,0.0382599483096,1.22165595154,0.713990659411,101283.144991,0.997270164523,101283.144991,0,0,0
unnamed_block_0,9,-0.0368220542981,0,0,0,0,0.990041030326,0.999642883528,0.470248225572,0,0.109082578646,0.482734298158,0.470248225572,0,0,0,0,0.0419115372461,1.22172434409,0.714030631091,101288.815173,0.997325995175,101288.815173,0,0,0
